date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:00	8833/8833	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:20%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/jquery.waypoints.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/jquery.waypoints.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:02	8182/8182	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:23%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/wow.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/wow.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:02	1511/1511	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:15%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/form-contact.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/form-contact.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:03	23383/23383	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:21%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/particles.min.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/particles.min.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:04	2815/2815	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:14%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/app.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/app.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:04	1933/1933	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:37%20GMT	http://wordpressboss.com/pc/spider-demo/assets/switcher/switcher.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/switcher/switcher.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:05	5768/5768	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20Mar%202017%2016:25:22%20GMT	http://wordpressboss.com/pc/spider-demo/assets/js/scripts.js	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/js/scripts.js	(from http://wordpressboss.com/pc/spider-demo/)
18:02:07	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2010%20Mar%202017%2016:26:08%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css)
18:02:08	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2010%20Mar%202017%2016:26:08%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css)
18:02:10	18028/18028	---M--	200	added ('OK')	font/woff2	date:Fri,%2010%20Mar%202017%2016:26:12%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css)
